ResponseID,study,criminals_born_not_made,genetically_predisposed,criminals_will_always_be_criminals,rehabilitation_programs,bob_death_penalty,bob_life_sentence,bob_years_in_prison,bob_eligible_for_parole,ageyears,gender,race,attention_check,use_data
R_1FzTiBZguSwEI5D,3,1,2,2,6,0,1, ,1,33,woman,1,"Bob set a shed on fire, but didn't know someone was sleeping in it and killed that person.",1
R_1gk06DIflKnpotR,3,3,3,2,5,0,0,8,1,24,woman,1,bob committed arson and was convicted of 2nd degree murder cause someone was the shack he burnt down,1
R_1ImLdtsCPgxrDjj,3,3,3,5,6,1, , , ,27,man,1,One of them committed serious crime,0
R_1M5TtDV0nFeRDlQ,3,2,3,2,6,0,0,5,1,46,woman,1,"They had burnt down a shack and insides was an individual sleeping, that person died.",1
R_1Ntvk1aNZmXc0pD,3,3,4,2,6,0,0,10,1,64,woman,1,"One of the two burned down a shed after work because he likes fires, and a person who was asleep inside died. He did not know the person was in there.",1
R_1OE4gHWFQuqdxow,3,2,3,2,6,0,0,25,1,52,man,1,One man started a fire and killed a man inside of a shack.  He did not know the man was in there when he set the fire.,1
R_1OqnIZ5kaAqd1dz,3,2,2,1,5,0,0,20,1,30,woman,1,Bob committed Arson/Murder by lighting a shack on fire and didn't check inside for any people.,1
R_1puPTIvHB7EHZXC,3,1,1,1,4,0,1, ,0,19,woman,1,Arsonist and second degree murder after burning a man in a shack,1
R_1r7kT7oqr5jNocP,3,2,2,2,7,0,0,4,1,41,woman,1,Bob had a fascination with fire. He burned down a shack near his home and accidentally killed the person inside.,1
R_22LnYE9NtLeMQGv,3,3,2,2,6,0,0,2,1,34,woman,1,Bob set a shack on fire unknowingly killing someone inside,1
R_2an3RZhgISszMcd,3, , , , ,0,0,15,1, ,woman, ,.,0
R_2Bi0GwwSnuoD8Wp,3,2,3,2,6,0,0,15,1,25,man,5,Bob was obsessed with fire and accidentally killed someone when committing arson.,1
R_2CBcDrM3jcKWy5w,3,4,5,3,7,0,0,15,1,26,man,1,ARSON WITH A PERSON INSIDE THE SHED,1
R_2CWlXe4oVrDH3V5,3,1,5,1,6,0, , , ,32,woman,1,One man committed arson without checking to see if there was anybody inside. There was a person sleeping in the building and subsequently died due to the arson.,1
R_2fya0cfEzAervAh,3,1,1,4,7,0,0,2,1,42,man,1,One of them set fire to a shack and didn't know someone was sleeping inside and they died.,1
R_2S1OkZ7fLtQ6UiJ,3,2,2,2,6,0,0,15,1,35,woman,1,Bob was fascinated with fire and set fire to a shack. He did not check to see if it was empty first and killed someone,1
R_2TT1QUKs8gxxGq5,3,7,6,7,7,0,0,10,1,37,man,1,One set a place on fire and someone was inside and was killed.,1
R_2ty6mum8vX6eG7S,3,2,2,4,6,0,0,15,1,26,man,1,One of the crimes was a man setting a shack on fire and accidently killing someone he didn't know was inside.,1
R_2V7JtaEmlxOV07g,3, , , , ,0,0,15,1, ,woman, ,.,0
R_2wBjuAJ3qgGGf55,3,3,2,2,5,0,0,15,1,40,man,5,"One committed arson and killed a person while he was sleeping, the death was accidental",1
R_3031EBFxT7kYeWd,3,6,6,6,6,1, , , ,33,woman,1,Murdered a clerk and kept kicking him,1
R_3D7KIR9RLmxLbB9,3, , , , ,0,1, ,0, ,woman, ,.,0
R_3DdWuKbYIVgIXV0,3,2,2,2,6,0,0,5,1,28,man,5,"Bob liked to play with fire, so he decided to set a shed on fire that was near his house. He didn't check inside the shed, and someone was in the shed, sleeping. The person died.",1
R_3dJPnRYdAakGDV3,3,1,2,1,7,0,0,7,1,34,woman,1,one of the crimes committed was a violent assault against a store clerk that left them for dead.,1
R_3gRdWI7REIaKpDb,3,5,5,5,3,1, , , ,20,woman,1,joe for arson,1
R_3gRfG7vRP1WXCY9,3,2,5,2,6,0, , , ,53,man,1,"He was an arsonist and accidentally killed someone when he set a store or some building on fire, not knowing that there was someone sleeping in it.   The other guy beat up a store clerk, who died.",1
R_3kh1hBofoICuRN8,3,2,3,4,5,0,1, ,1,63,man,1,"A violent history, assaulted a clerk and kicked him in the head when down, killing him.",1
R_3MGxgpbZTsOE1Ag,3,1,1,1,5,0,1, ,1,33,woman,1,Bob started a fire and killed one person,1
R_3ncTxEjxCv94852,3,2,5,5,6,0,0,10,1,19,man,1,"Bob had a fascination with fire and one day decided to set a shack on fire, not knowing that there was someone sleeping inside, and thus killing them.",1
R_3NCV0OaTA4bVmtC,3,2,3,3,5,0,1, ,1,30,woman,1,One of the crimes was arson and he didn't know there was a person in the shack he lit up so he committed murder as well.,1
R_3O31Y6RlOGPxf8m,3,1,1,3,1,0,1, ,1,50,man,1,Bob lit a house on fire and didnt know there was someone sleeping in there and was charged with 2 degree murder,1
R_3PuIsqTY8th1uxa,3,2,2,2,7,0,0,15,1,28,woman,1,"Joe got into an argument with a store clerk and ended up fighting him and kicking him in the head when he was on the floor, killing him.",1
R_3qyAdrsU37etAZJ,3,2,5,7,1,1, , , , ,woman, ,.,0
R_4H37apNiDhxLOy5,3,1,2,1,6,0, , , ,22,man,1,Arson and murder because he didn't know someone was sleeping in the shed he caught on fire,1
R_5i3jxabpcIklFS5,3,1,1,2,7,0,0,7,1,26,man,1,ONE of the crimes was arson along with a second degree murder charge for accidentally killing someone who was sleeping in the shack because the perpetrator did not check inside prior to setting the residence o,1
R_5ipZQijjiVoysYd,3, , , , , , , , , ,woman, ,.,0
R_6flO5ReCNYiWzfn,3,2,2,3,6,0,0,15,1,63,man,1,"Setting fire to a shack and killing someone, without realizing there was someone in there.",1
R_8dBeO1sPRsz6Rhf,3,4,6,2,6,0,0,5,1,38,woman,1,Assault,1
R_8dMvpVh5ckWVa9j,3,1,1,3,7,0,1, ,0,35,man,5,The first crime mentioned( I think it was joe) was an arson where the defendant set a shed on fire and there happened to be someone in there who died. The defendant seems to be a pyromaniac. He was charged wit,1
R_bqhjm24CNPoxLG1,3,2,3,4,4,0,0,25,1,37,man,1,someone killed someone not knowing and one hurt someone,1
R_BV58kbArVLECBHj,3,1,1,1,4,0,0,30,1,30,woman,1,Arson who killed a person,0
R_cONWl4PjmZkFEdz,3,2,2,2,6,0,0,20,1,33,man,1,arson that ended in homicide,1
R_dgy0Jtx82SmO9zj,3,2,2,2,7,0,0,20,1,35,woman,1,"Joe murdered a store clerk following an argument with him, he kicked him in the head repeatedly.",1
R_e9a3MPnsVsDLBsJ,3,1,1,1,5,0, , , ,47,man,2,Arson,1
R_ePYOhuJLnow0B1L,3, , , , , , , , , ,woman, ,.,0
R_et9hm2oNcYCucvv,3,1,2,2,7,0,0,25,1, ,woman, ,.,0
R_oZuWF8JL8GjO1dT,3,2,1,2,5,0,0,12,0,21,woman,1,Joe kicked some dude in the head at the grocery store and the dude died.,1
R_pT2PyaVrlKbqhFL,3,1,1,1,7,0, , , ,58,man,1,"Was fascinated by fire, set fire to a shack, someone was sleeping in it and they were killed.",1
R_PU96nxVwJXkQx0Z,3,2,4,3,5,0,0,2,1,70,man,1,"One of the men set fire to an out building, not knowing that someone was inside. That person died.",1
R_RfX1BoDNJGLRbyh,3,1,1,1,7,0,0,10,1,65,man,1,"Bob committed arson and by the fact that there was a person in the shed he lit on fire, he committed murder also.",1
R_RkuigZrVYx1oQYV,3,2,2,2,6,0,0,10,1,43,man,1,The arsonist started a shed on fire while someone was inside it.,1
R_rqf1OlwmBDK6cFj,3,1,1,1,7,0,0,10,1,42,man,1,One crime was a murder after the criminal had an arguement with the clerk he kept kicking him in the head and he died,0
R_s6j1DyVi5vFYyDT,3,3,3,3,6,0,0,30,1,28,woman,1,arson and murder,1
R_sKVe0ocxiIwIYG5,3,2,2,2,7,0,0,10,1,40,man,1,One of them burned down a house and didn't check if any one was inside. There was someone inside and they died.,0
R_sRN60IZp0PV4OEV,3,1,3,1,5,0,0,20,1,35,man,2,"Bob liked to set fires and set a shack by his house on fire, unknowingly killing a sleeping person inside.",1
R_Tbl8g2gPNcc3X5T,3,1,1,1,6,0,0,12,0,30,man,1,One man loved fire and set fire to a building and didn't know that someone was sleeping inside.  The person inside was killed in the fire.,1
R_wNPyrXKka9vJrEZ,3,1,2,1,6,0,0,24,1,24,man,1,Bob set fire to his shed which killed the person he did not know was sleeping inside.,1
R_wQY8Iek1L2SVb69,3,1,3,3,5,0, , , ,52,woman,1,a person set arson to a shed and there was someone sleeping inside and the person died,1
R_Y6uowZioy5sBmPn,3,2,6,4,3,0,1, ,0,55,man,2,murder,1
R_YPNnwwlUkgPO4Y9,3,1,1,1,5,0,1, ,1,28,woman,5,One of them lit a shack on fire without checking inside. The other with a violent history ebat up a store clerk and kept kicking him until he was dead.,1
R_Z38ddja9dlvf3HP,3,1,1,1,5,0,0,12,1,20,woman,1,Joe set fire to a shack without checking inside. Their was a person inside the shack who died as a result of the fire.,1
R_ZyIzPxcNK89IjnP,3,1,2,1,7,0,0,6,1,23,man,1,arson of a small cabin that killed a person,1
R_zZ3nx5OSnH0Supb,3,2,2,4,2,0, , , ,58,man,3,Joe was an arsonist.  He burnt a hut but did not know that there was someone inside.,0
R_0qhZPnbb7V4C9oN,3,1,2,3,6,0,0,15,1,38,man,1,"Bob was fascinated with arson and burned a building down. Unfortunately, someone was inside of it.",1
R_1Cvi2l6YMuEpcTz,3,2,6,1,4,0, , , ,26,man,1,Bob like to play with fired and set a shack on fire not knowing someone was in the shack sleeping,1
R_1gROUSCCjX16YWE,3,2,5,2,7,0,0,2,1,30,man,1,"arson of a shack where there was someone inside and the arsonist didn't know it, resulting in the victims death.",1
R_1Heng7FuueM9p5E,3,1,3,1,6,0,0,10,1,46,woman,1,An person who liked to burn things burned down a building that had people inside it.,1
R_1QgxWBBu2epMCwY,3,2,3,4,6,0,1, ,1,21,woman,1,Bob committed arson on a building without checking inside to find that a person was in there that he killed.,1
R_1QtpCiK5VqQPOds,3,2,4,2,7,0,1, ,1,34,woman,1,bob commited arson on a shack or shed. someone was sleeping in there that he was unaware of and they died,0
R_20NGDVfGQzeNVLK,3,2,4,2,4,0,1, ,1,20,woman,1,"Robbed a store killed a guy and stomped on his head, he was dead on police arrival",1
R_23461ZHV4Ik4eSg,3,1,2,2,3,0,0,10,1,45,man,2,Bob had set a old shack on fire and there was a man inside that burned to death.,0
R_234xSkTwCsHhFA9,3,1,3,1,5,0,0,20,1,31,man,1,"Bob like fire and started a shack on fire, unknowingly killing a person inside the shack",1
R_265r2zayH1bOzpP,3,4,4,2,5,0,0,13,1,37,woman,1,Made a fire and accidentally killed someone as a result of the fire.,1
R_27NCILqoPXOpiST,3,2,2,2,4,0,1, ,0,28,woman,1,second degree murder,1
R_28TCqJe0NdLgMvi,3,1,1,1,5,0,0,5,1,31,woman,1,"Bob (I think) was the guy that had an argument with the store clerk and then didn't control his temper to any extent.  He not only got violent with the clerk but he killed the clerk, and a witness said he did",1
R_2bPOnU08ddbHPMg,3,1,2,3,7,1, , , ,33,woman,1,Joe  was incarcerated for setting fire to a shack which he didn't know there was someone inside and the person died,1
R_2fkriQmdQZ1NFCj,3,2,2,3,5,0,0,20,1,45,woman,1,One was an arsonist that accidentally killed a person that was sleeping in a structure,1
R_2pKnWj6PQhWKaTo,3,1,1,1,4,0, , ,1, ,woman, ,.,0
R_2pQ3cotLBxByoyO,3,2,2,2,6,0,0,8,1,30,woman,1,"Bob likes fire and he set a shack aflame, but he did not check to see if someone was inside and a person who had been sleeping inside died. He was charged with arson and 2nd degree murder.",1
R_2QRJtErV5C7BGMC,3,2,1,3,6,0,1, ,1,39,man,1,he started a fire that killed someone,0
R_2rV0hfdzNwPArSZ,3,2,2,2,6,0,0,20,0,31,man,1,COMMITTED ARSON AND BURNED SOMEONE IN THE SHACK AND THEY DIED,1
R_2sdvwDEdXyBJSvW,3,4,6,1,5,0, , , ,38,woman,1,One man got into a fight with a clerk and he keep kicking him in the head when he was down on the ground which killed the clerk.,1
R_2v5DB7mH7vgNmtB,3,1,1,1,5,0,1, ,0,50,man,1,Bob likrd to start fires. He lit up a shack aand a man was inside and died.,1
R_2wMLB7VrsGBQewx,3,2,5,3,4,0,0,18,1,39,man,3,"Bob had an argument with a store clerk, and had repeatedly kicked him, until he died.",1
R_2wQAyaUXRkAEzFd,3,2,3,4,4,0,1, ,0,30,woman,1,Second-degree murder,1
R_2WVii3VlkuyrB6P,3,4,4,4,3,0, , ,1,25,woman,1,"One was arson to a small building which someone was in, and it killed them racking up a murder charge",1
R_2xKadSCl7utuhdC,3,4,4,5,2,1, , , ,30,woman,1,Killing a convenience store clerk in an argument,0
R_2xxG82jZHcwPsRL,3,1,1,2,5,0,0,15,1,32,woman,2,The arson-murder of 1 person inside a so-called shack house. The fire started by a reckless arsonist.,1
R_2YrkwPI4n5Z1SC4,3,3,6,1,7,0,0,4,1,21,man,1,Arson to a cabin with someone inside.,1
R_2ZQDJpGWTtVRJkq,3,3,3,6,1,0,0,15,0,22,woman,3,one was charged for second degree murder,1
R_30bYPhNuvZOAGQB,3,3,3,2,5,0,0,35,1,37,woman,1,burned a shed and killed the occupant,1
R_30or8BDhmGMVW1s,3,1,3,2,5,0,0,10,1,47,woman,1,Arson,1
R_30q6eV33mQ9tLUF,3,1,1,4,1,0, , , ,35,man,1,A robbery that turned into and assault leading to the victims death,1
R_31EHOTowNkohhmb,3,3,3,4,3,0,0,20,0,50,man,1,one cvrime was about being in a convenience store and the clerk was being kicked in the head and was prounounced dead,1
R_31Kj7ncyaMgrmYK,3,3,4,2,6,0,0,10,1,45,woman,5,An accidental manslaughter due to arson,1
R_33wdGLMtchyVaT0,3,1,1,1,7,0,1, ,1, ,woman, ,.,0
R_3dJLfEZqhqpZynS,3,1,1,1,7,0,0,20,1,44,woman,1,"Bob committed arson and ended up killing someone in the house, though he didn't realize that the house wasn't empty.",1
R_3efx9GokrXD8nas,3,1,1,1,7,0,0,30,1,39,woman,1,"Bob committed arson by setting a shack on fire, killing a person who was sleeping inside, unbeknownst to Bob.",1
R_3fCASPNX0xbFF4o,3,1,1,4,7,0,0,20,1,24,man,1,A guy commited arson and did not know a person was inside sleeping and killed them,1
R_3Gxi8wwTQOjGGuC,3,3,4,4,4,0,0,10,1,29,woman,1,"Joe liked to set things on fire.  He set fire to a building (maybe a barn) without checking inside, and accidentally killed someone inside.",1
R_3HFUWVaaVQTmAWL,3,4,4,3,3,0,0,10,1,49,woman,1,I think it was Joe who committed murder.,0
R_3jSxjenHiwJki1W,3,1,5,6,4,0, , , ,44,man,1,a man who had a history of violent crimes beat a store clerk to death,1
R_3KovML2TIJt2WGr,3,2,3,3,5,0,0,10,1,37,woman,1,"A man robbed a convenience store, got into an argument with the clerk, pushed him down and repeatedly kicked his head resulting in death.",1
R_3LczVf0fZjDEP8M,3,2,4,2,6,0,0,10,1,24,woman,1,Arson that ended up with the death of someone in the shack,1
R_3MF2eYMQ0H2J7Km,3,1,1,1,7,0,0,10,1, ,woman, ,.,0
R_3n1amztbMFtG7Nu,3,4,5,4,6,0, , , ,24,woman,2,beating a clerk to death by kicking him,1
R_3oNGfnfyNZxZ4wu,3,3,3,3,7,0,0,10,1,31,man,5,Set a fire to a shack that somebody was asleep in.,1
R_3p5ycxs1Q0Pigve,3,1,5,4,6,0,0,2,1,26,woman,1,Bob committed arson and second degree murder.,1
R_3pajW6FDw1w6mjo,3,2,4,3,5,0,0,30,1,26,woman,1,One of the crimes was arson where a man was sleeping the building that was burned and died.,1
R_3PL8bxC7WCsnpwF,3,6,4,3,5,1, , , ,33,woman,1,kicking a guy in the head after beating him mercilessly,1
R_3r0XpeDr96WYBUB,3,2,5,2,6,0,0,15,0,31,man,1,Bob committed arson by burning a shack near his home that had a person inside of it.  Bob was not aware of the person inside the building he burned; he just had a fascination with fire.,1
R_4TrP0osVIlKN1sZ,3,4,5,3,5,0, , , ,22,woman,1,"One of the two men assaulted a clerk after an argument started, and kicked his head repeatedly even after the clerk was on the ground, and the clerk was dead when the police arrived",1
R_4VMFtBuQYpHLZWF,3,5,6,1,6,0,0,5,0,21,woman,1,Bob started a fire in a shed that someone was sleeping in and that person died,1
R_7QBcdEE69pEgkfL,3, , , , , , , , , ,woman, ,.,0
R_866LZSBSjojVpbv,3,4,4,4,1,1, , , ,33,woman,1,One of the men set fire to a house and killed someone.,1
R_9oAP7gUs7UIxvCJ,3,3,6,2,5,0,0,25,1,60,man,1,bob committed arson and second-degree murder by setting a building in which someone was sleeping on fire. The sleeping individual died in the fire.,1
R_9RMhJaNWhL9SXBv,3,1,1,3,6,0,0,25,1,44,woman,2,One committed murder from a fight and the other committed murder from arson.,1
R_BLiI4772meUKNYB,3,1,4,1,6,0,0,15,1,22,woman,1,Bob committed arson by setting a shack on fire and killed someone inside.,1
R_O2mTdpD4KNG04tH,3,2,4,2,6,0, , , ,31,man,1,arson that killed a man inside the building,1
R_OAW5r1iusMWpn4l,3,4,4,5,5,1, , , ,23,woman,1,Theft,0
R_OD2m1Ea11zjUfxT,3,4,4,4,7,0, , ,1,34,woman,1,Second degree murder - both individuals. Arson - second individual,1
R_qIUMSooVDNa4fmh,3,4,6,3,5,0,0,15,1,23,woman,5,He commited murder by kicking the guy repeatedly in the face.,1
R_QlHnljVWXk5cOlP,3,1,1,4,6,0,0,20,1,33,woman,1,One was an arsonist. He set fire to a shed that someone happened to be in,1
R_RgAGQZKihG4OJfX,3,5,5,4,5,1, , , ,30,woman,1,murder,1
R_Rn3O7PiyuDfA8Qp,3,4,1,4,4,0, , , ,46,man,1,I believe Bob set a fire in a shack and killed someone who was sleeping inside.,1
R_UMwtuDB3Gp8TwBz,3,3,3,3,4,0,1, ,0,48,man,1,Bob set  a shack on fire and did not realize somoeone was inside,1
R_vo9y3e3qeTCzWXD,3,1,1,1,7,0,0,24,1, ,woman, ,.,0
R_W7mTd6ALvTJj06R,3,1,1,1,7,0,0,10,1,34,woman,1,arson,1
R_XhN9rO140N1DFVn,3,2,2,4,6,0,1, ,1,40,woman,1,"Joe loses his temper quickly. He got into a fight with a clerk. Joe hit the clerk so hard in the head  that by the time the police got there, the clerk was already dead.",1
R_XtsW7QkDWjMaN4R,3, , , , ,0,0,45,0, ,woman, ,.,0
